934,IER3 
935,IER5 
936,IFI16 
937,IFI27 
938,IFI30 
939,IFI6 
940,IFIT2 
941,IFIT3 
942,IFITM10 
943,IFITM1 
944,IFITM2 
945,IFITM3 
946,IGF2BP2 
947,IGFBP2 
948,IGFBP3 
949,IGFBP4 
950,IGFBP5 
951,IGFBP6 
952,IGFBP7 
953,IGSF10 
954,IGSF1 
955,IGSF21 
956,IGSF3 
957,IGSF6 
958,IL11 
959,IL13RA2 
960,IL17C 
961,IL17RB 
962,IL18 
963,IL1B 
964,IL1R1 
965,IL1RN 
966,IL20RA 
967,IL22RA1 
968,IL24 
969,IL32 
970,IL33 
971,IL4R 
972,IL6R 
973,IL6 
974,IL7R 
975,IL8 
976,IMPA2 
977,INHBA 
978,INPP5D 
979,INPP5F 
980,INSIG1 
981,INSM1 
982,INSR 
983,INS 
984,IPCEF1 
985,IQCA1 
986,IQGAP2 
987,IRAK2 
988,IRF8 
989,IRS2 
990,IRX1 
991,IRX2 
992,IRX3 
993,IRX4 
994,ISL1 
995,ISLR 
996,ITGA11 
997,ITGA1 
998,ITGA2 
999,ITGA4 
1000,ITGA5 
1001,ITGA6 
1002,ITGAV 
1003,ITGB2 
1004,ITGB3 
1005,ITGB5 
1006,ITGB7 
1007,ITGB8 
1008,ITIH5 
1009,ITM2A 
1010,ITPR3 
1011,ITPRIPL2 
1012,ITPRIP 
1013,IYD 
1014,JAG1 
1015,JARID2 
1016,JPH4 
1017,JUNB 
1018,JUN 
1019,JUP 
1020,KANK2 
1021,KANK4 
1022,KCNE3 
1023,KCNE4 
1024,KCNG1 
1025,KCNH2 
1026,KCNIP1 
1027,KCNJ13 
1028,KCNJ15 
1029,KCNJ16 
1030,KCNJ2 
1031,KCNJ3 
1032,KCNJ8 
1033,KCNK16 
1034,KCNK17 
1035,KCNK5 
1036,KCNN3 
1037,KCNQ1 
1038,KCNQ3 
1039,KCNT2 
1040,KCTD12 
1041,KCTD8 
1042,KDELR3 
1043,KDR 
1044,KIAA0101 
1045,KIAA0319 
1046,KIAA1147 
1047,KIAA1199 
1048,KIAA1211 
1049,KIAA1217 
1050,KIAA1377 
1051,KIAA1462 
1052,KIAA1522 
1053,KIAA1644 
1054,KIAA2022 
1055,KIF14 
1056,KIF20B 
1057,KIF21B 
1058,KISS1R 
1059,KITLG 
1060,KIT 
1061,KLF10 
1062,KLF13 
1063,KLF2 
1064,KLF4 
1065,KLF5 
1066,KLF6 
1067,KLF9 
1068,KLHDC8A 
1069,KLHL24 
1070,KLHL41 
1071,KLK1 
1072,KRT15 
1073,KRT17 
1074,KRT18 
1075,KRT19 
1076,KRT1 
1077,KRT23 
1078,KRT40 
1079,KRT7 
1080,KRT80 
1081,KRT8 
1082,KYNU 
1083,LACC1 
1084,LAD1 
1085,LAMA1 
1086,LAMA2 
1087,LAMA3 
1088,LAMA4 
1089,LAMB1 
1090,LAMB3 
1091,LAMC1 
1092,LAMC2 
1093,LAMC3 
1094,LAMP5 
1095,LAPTM5 
1096,LAT2 
1097,LATS2 
1098,LAT 
1099,LBH 
1100,LCN10 
1101,LCN2 
1102,LCP1 
1103,LCP2 
1104,LDB2 
1105,LDHA 
1106,LDHB 
1107,LDLRAD4 
1108,LDLR 
1109,LECT1 
1110,LEF1 
1111,LEPR 
1112,LGALS1 
1113,LGALS2 
1114,LGALS3 
1115,LGALS4 
1116,LGALS9C 
1117,LGALS9 
1118,LGI2 
1119,LGR4 
1120,LHFPL2 
1121,LHFP 
1122,LIFR 
1123,LIF 
1124,LILRB1 
1125,LILRB2 
1126,LILRB4 
1127,LIMA1 
1128,LIMS1 
1129,LINC00152 
1130,LINC00261 
1131,LINC00263 
1132,LINC00348 
1133,LINC00473 
1134,LINC00643 
1135,LINC00671 
1136,LINC00673 
1137,LIPA 
1138,LIPG 
1139,LIPH 
1140,LITAF 
1141,LMCD1 
1142,LMO2 
1143,LMO3 
1144,LMO7 
1145,LOC100216546 
1146,LOC100422737 
1147,LOC100505495 
1148,LOC100505633 
1149,LOC150622 
1150,LOC154761 
1151,LOC283070 
1152,LOC285878 
1153,LOC441204 
1154,LOC541471 
1155,LOC642366 
1156,LOC650226 
1157,LOC728392 
1158,LOC730101 
1159,LONRF2 
1160,LOXL2 
1161,LOXL4 
1162,LOX 
1163,LPAR6 
1164,LPCAT2 
1165,LPHN2 
1166,LPPR4 
1167,LPXN 
1168,LRCH2 
1169,LRFN5 
1170,LRG1 
1171,LRMP 
1172,LRP5 
1173,LRRC19 
1174,LRRC32 
1175,LRRC4 
1176,LRRC8A 
1177,LRRC8C 
1178,LRRIQ1 
1179,LRRN3 
1180,LRRTM2 
1181,LRRTM3 
1182,LSAMP 
1183,LTBP1 
1184,LTBP2 
1185,LTB 
1186,LUM 
1187,LURAP1L 
